Page,Broken Link,Section,Relative Link,Link Name
https://www.utep.edu/cs/course-schedules/fall-2020-course-schedule.html,https://www.utep.edu/cs/course-schedules/,Main Content (Top small navigation),/cs/course-schedules,Schedule
https://www.utep.edu/cs/course-schedules/fall-2021-course-schedule.html,https://www.utep.edu/cs/course-schedules/,Main Content (Top small navigation),/cs/course-schedules,Schedule
https://www.utep.edu/cs/course-schedules/fall-2022-course-schedule.html,https://www.utep.edu/cs/course-schedules/,Main Content (Top small navigation),/cs/course-schedules,Schedule
https://www.utep.edu/cs/course-schedules/fall-2023-course-schedule.html,https://www.utep.edu/cs/course-schedules/,Main Content (Top small navigation),/cs/course-schedules,Schedule
https://www.utep.edu/cs/course-schedules/fall2016-course-schedule.html,https://www.utep.edu/cs/course-schedules/,Main Content (Top small navigation),/cs/course-schedules,Schedule
https://www.utep.edu/cs/course-schedules/fall2017-course-schedule.html,https://www.utep.edu/cs/course-schedules/,Main Content (Top small navigation),/cs/course-schedules,Schedule
https://www.utep.edu/cs/course-schedules/fall2018-course-schedule.html,https://www.utep.edu/cs/course-schedules/,Main Content (Top small navigation),/cs/course-schedules,Schedule
https://www.utep.edu/cs/course-schedules/fall2018-course-schedule.html,http://www.cs.utep.edu/wp-content/uploads/2018/04/4390IR_outline.pdf,Main Content,http://www.cs.utep.edu/wp-content/uploads/2018/04/4390IR_outline.pdf,Information Retrieval and Information Visualization
https://www.utep.edu/cs/course-schedules/fall2018-course-schedule.html,http://www.cs.utep.edu/nigel/slp-outline.pdf,Main Content,http://www.cs.utep.edu/nigel/slp-outline.pdf,Topics in Language Processing
https://www.utep.edu/cs/course-schedules/spring-2017-course-schedule.html,https://www.utep.edu/cs/course-schedules/,Main Content (Top small navigation),/cs/course-schedules,Schedule
https://www.utep.edu/cs/course-schedules/spring-2017-course-schedule.html,http://www.cs.utep.edu/wp-content/uploads/2015/10/WirelessNetworks2016.pdf,Main Content,http://www.cs.utep.edu/wp-content/uploads/2015/10/WirelessNetworks2016.pdf,Special Topic: Wireless Networks
https://www.utep.edu/cs/course-schedules/spring-2019-course-schedule.html,https://www.utep.edu/cs/course-schedules/,Main Content (Top small navigation),/cs/course-schedules,Schedule
https://www.utep.edu/cs/course-schedules/spring-2021-course-schedule.html,https://www.utep.edu/cs/course-schedules/,Main Content (Top small navigation),/cs/course-schedules,Schedule
https://www.utep.edu/cs/course-schedules/spring-2021-course-schedule.html,https://specialtopics.deblasiolab.org/s22/,Main Content,https://specialtopics.deblasiolab.org/s22/,Topics in Data Science: Algorithms in Computational Biology
https://www.utep.edu/cs/course-schedules/spring-2022-course-schedule.html,https://www.utep.edu/cs/course-schedules/,Main Content (Top small navigation),/cs/course-schedules,Schedule
https://www.utep.edu/cs/course-schedules/spring-2022-course-schedule.html,https://specialtopics.deblasiolab.org/s22/,Main Content,https://specialtopics.deblasiolab.org/s22/,Topics in Data Science: Algorithms in Computational Biology
https://www.utep.edu/cs/course-schedules/spring2018-course-schedule.html,https://www.utep.edu/cs/course-schedules/,Main Content (Top small navigation),/cs/course-schedules,Schedule
https://www.utep.edu/cs/course-schedules/spring2023-course-schedule.html,https://www.utep.edu/cs/course-schedules/,Main Content (Top small navigation),/cs/course-schedules,Schedule
https://www.utep.edu/cs/course-schedules/summer-2017-course-schedule.html,https://www.utep.edu/cs/course-schedules/,Main Content (Top small navigation),/cs/course-schedules,Schedule
https://www.utep.edu/cs/course-schedules/summer-2020-course-schedule.html,https://www.utep.edu/cs/course-schedules/,Main Content (Top small navigation),/cs/course-schedules,Schedule
https://www.utep.edu/cs/course-schedules/summer-2021-course-schedule.html,https://www.utep.edu/cs/course-schedules/,Main Content (Top small navigation),/cs/course-schedules,Schedule
https://www.utep.edu/cs/course-schedules/summer-2022-course-schedule.html,https://www.utep.edu/cs/course-schedules/,Main Content (Top small navigation),/cs/course-schedules,Schedule
https://www.utep.edu/cs/course-schedules/summer-2023-course-schedule.html,https://www.utep.edu/cs/course-schedules/,Main Content (Top small navigation),/cs/course-schedules,Schedule
https://www.utep.edu/cs/course-schedules/summer2018-course-schedule.html,https://www.utep.edu/cs/course-schedules/,Main Content (Top small navigation),/cs/course-schedules,Schedule
