Page,Broken Link,Section,Relative Link,Link Name
https://www.utep.edu/cs/opportunities/dod_cyber_scholarship_program.html,https://www.utep.edu/cs/opportunities/,Main Content (Top small navigation),/cs/opportunities,opportunities
https://www.utep.edu/cs/opportunities/fast_track_program.html,https://www.utep.edu/cs/opportunities/,Main Content (Top small navigation),/cs/opportunities,opportunities
https://www.utep.edu/cs/opportunities/internships.html,https://www.utep.edu/cs/opportunities/,Main Content (Top small navigation),/cs/opportunities,opportunities
https://www.utep.edu/cs/opportunities/opportunities.html,https://www.utep.edu/cs/opportunities/,Main Content (Top small navigation),/cs/opportunities,opportunities
https://www.utep.edu/cs/opportunities/opportunities.html,http://www.wicys.net/,Main Content,https://www.csc.tntech.edu/wicys/,
https://www.utep.edu/cs/opportunities/s-stem_scholarship_program.html,https://www.utep.edu/cs/opportunities/,Main Content (Top small navigation),/cs/opportunities,opportunities
https://www.utep.edu/cs/opportunities/s-stem_scholarship_program.html,http://www.cs.utep.edu/wp-content/uploads/2016/12/image003.jpg,Main Content,http://www.cs.utep.edu/wp-content/uploads/2016/12/image003.jpg,
https://www.utep.edu/cs/opportunities/sfs_application.html,https://www.utep.edu/cs/opportunities/,Main Content (Top small navigation),/cs/opportunities,opportunities
https://www.utep.edu/cs/opportunities/sfs_program.html,https://www.utep.edu/cs/opportunities/,Main Content (Top small navigation),/cs/opportunities,opportunities
https://www.utep.edu/cs/opportunities/sfs_program_faq.html,https://www.utep.edu/cs/opportunities/,Main Content (Top small navigation),/cs/opportunities,opportunities
https://www.utep.edu/cs/opportunities/sstem.html,https://www.utep.edu/cs/opportunities/,Main Content (Top small navigation),/cs/opportunities,opportunities
https://www.utep.edu/cs/opportunities/sstem.html,http://www.cs.utep.edu/wp-content/uploads/2016/12/image003.jpg,Main Content,http://www.cs.utep.edu/wp-content/uploads/2016/12/image003.jpg,
https://www.utep.edu/cs/opportunities/student-travel.html,https://www.utep.edu/cs/opportunities/,Main Content (Top small navigation),/cs/opportunities,opportunities
