Page,Broken Link,Section,Relative Link,Link Name
https://www.utep.edu/cs/people/Freudenthal.html,https://sites.google.com/site/freudenthalnet/eric-freudenthal-s-availability,Main Content,https://sites.google.com/site/freudenthalnet/eric-freudenthal-s-availability,accordion0/calendar
https://www.utep.edu/cs/people/Freudenthal.html,https://www.utep.edu/cs/people/coralcdn.org,Main Content,coralcdn.org,accordion1/Coral-CDN
https://www.utep.edu/cs/people/Fuentes_Publications.html,https://esajournals.onlinelibrary.wiley.com/,Main Content,http://www.esajournals.org/doi/pdf/10.1890/ES13-00359.1,Harnessing the power of big data: infusing the scientific method with machine learning to transform ecology
https://www.utep.edu/cs/people/Fuentes_Publications.html,http://www.cs.utep.edu/ofuentes/iciar10.pdf,Main Content,http://www.cs.utep.edu/ofuentes/iciar10.pdf,Face Detection in Low-resolution Color Images
https://www.utep.edu/cs/people/longpre.html,https://outlook.office365.com/book/ComputerScienceAdvising1@minersutep.onmicrosoft.com/s/R171XriyvkSfOYZt7opfCw2?isAnonymous=true,Main Content,https://outlook.office365.com/owa/calendar/ComputerScienceAdvising1@minersutep.onmicrosoft.com/bookings/s/R171XriyvkSfOYZt7opfCw2,accordion3/here
https://www.utep.edu/cs/people/nvillanuevarosales.html,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/ES13-00359.1,Main Content,https://esajournals.onlinelibrary.wiley.com/doi/full/10.1890/ES13-00359.1,accordion1/[Website]
https://www.utep.edu/cs/people/nvillanuevarosales.html,https://aaai.org/ocs/index.php/FSS/FSS13/paper/viewFile/7631/7488,Main Content,https://www.aaai.org/ocs/index.php/FSS/FSS13/paper/viewFile/7631/7488,accordion1/[PDF]
https://www.utep.edu/cs/people/nvillanuevarosales.html,https://scholar.google.com/citations?user=DCfeFYQAAAAJ&hl=en&oi=ao,Main Content,https://scholar.google.com/citations?user=DCfeFYQAAAAJ&hl=en&oi=ao,accordion1/Google Scholar page.
https://www.utep.edu/cs/people/nvillanuevarosales.html,https://www.ncwit.org/2019-undergraduate-research-mentoring-award-recipients,Main Content,https://www.ncwit.org/2019-undergraduate-research-mentoring-award-recipients,accordion5/2019 Undergraduate Research Mentoring Award
https://www.utep.edu/cs/people/nvillanuevarosales.html,https://greatmindsinstem.org/professionals/award-winners-2019,Main Content,http://www.greatmindsinstem.org/professionals/award-winners-2019,accordion5/2019 Hispanic Engineer National Achievements Awards Conference (HEENAC) Education Award
https://www.utep.edu/cs/people/nvillanuevarosales.html,https://greatmindsinstem.org/index.htm,Main Content,http://www.greatmindsinstem.org/index.htm,accordion5/Great Minds in STEM (GMis)
https://www.utep.edu/cs/people/Eric/index.html,https://www.utep.edu/longpre,Main Content,http://faculty.utep.edu/longpre,accordion4/http://faculty.utep.edu/longpre
https://www.utep.edu/cs/people/faculty-websites/jacosta.html,https://www.utep.edu/cs/people/faculty-websites/,Main Content (Top small navigation),/cs/people/faculty-websites,Faculty Websites
https://www.utep.edu/cs/people/faculty-websites/omondragon.html,https://www.utep.edu/cs/people/faculty-websites/,Main Content (Top small navigation),/cs/people/faculty-websites,Faculty Websites
