Page,Broken Link,Section,Relative Link,Link Name
https://www.utep.edu/cs/pickx/aboutUs/aboutpickx.html,https://www.utep.edu/cs/pickx/aboutUs/,Main Content (Top small navigation),/cs/pickx/aboutUs,aboutUs
https://www.utep.edu/cs/pickx/archive/2018/july/resume_tips.html,http://www.nova.edu/career/resources/forms/resume_computer_science.pdf,Main Content,http://www.nova.edu/career/resources/forms/resume_computer_science.pdf,Nova Southeastern University
https://www.utep.edu/cs/pickx/archive/2018/july/resume_tips.html,https://www.utep.edu/student-affairs/careers/_Files/pdfs/Final-Online-Undergraduate-Resume-Sample-RD-8.3.2015.pdf,Main Content,https://www.utep.edu/student-affairs/careers/_Files/pdfs/Final-Online-Undergraduate-Resume-Sample-RD-8.3.2015.pdf,University of Texas at El Paso (UTEP)
https://www.utep.edu/cs/pickx/archive/2018/july/resume_tips.html,https://www.careercenter.illinois.edu/sites/default/files/downloads/Career%20Center%20Resume%20Flyer.pdf,General content,https://www.careercenter.illinois.edu/sites/default/files/downloads/Career Center Resume Flyer.pdf,None
https://www.utep.edu/cs/pickx/archive/2018/july/resume_tips.html,https://prod.wp.cdn.aws.wfu.edu/sites/41/2011/05/Action-Verbs-for-Resumes.pdf,Main Content,http://career.opcd.wfu.edu/files/2011/05/Action-Verbs-for-Resumes.pdf,List of Action Verbs for Resumes & Professional Profiles
https://www.utep.edu/cs/pickx/archive/2018/july/why_extracurricular_activities_matter.html,http://www.cs.utep.edu/research/,Main Content,http://www.cs.utep.edu/research/,Research at UTEP - Computer Science
https://www.utep.edu/cs/pickx/archive/2018/july/why_extracurricular_activities_matter.html,https://dus.psu.edu/mentor/2013/05/undergraduate-research-students-perspective/,Main Content,https://dus.psu.edu/mentor/2013/05/undergraduate-research-students-perspective/,The Benefits of Undergraduate Research: The Student’s Perspective
https://www.utep.edu/cs/pickx/interview_preparation/index.html,https://www.utep.edu/computer-science/pickx/archive/July%202018/Resumes,Main Content,/computer-science/pickx/archive/July 2018/Resumes,
https://www.utep.edu/cs/pickx/scholarships/index.html,http://www.cs.utep.edu/s-stem-program/,Main Content,http://www.cs.utep.edu/s-stem-program/,S-STEM Scholarship Program
https://www.utep.edu/cs/pickx/scholarships/index.html,http://www.cs.utep.edu/utep-sfs-program/,Main Content,http://www.cs.utep.edu/utep-sfs-program/,Scholarship for Service (SFS)
https://www.utep.edu/cs/pickx/_Files/article_template.html,https://www.utep.edu/cs/pickx/_Files/,Main Content (Top small navigation),/cs/pickx/_Files,_Files
https://www.utep.edu/cs/pickx/_Files/july_2018_archive.html,https://www.utep.edu/cs/pickx/_Files/,Main Content (Top small navigation),/cs/pickx/_Files,_Files
https://www.utep.edu/cs/pickx/_Files/july_2018_archive.html,https://www.utep.edu/computer-science/pickx/July%202018/Resume_Tips,Main Content,/computer-science/pickx/July 2018/Resume_Tips,
https://www.utep.edu/cs/pickx/_Files/july_2018_archive.html,https://www.utep.edu/computer-science/pickx/July%202018/importance_of_side_projects,Main Content,/computer-science/pickx/July 2018/importance_of_side_projects,
https://www.utep.edu/cs/pickx/_Files/july_2018_archive.html,https://www.utep.edu/computer-science/pickx/July%202018/why_extracurricular_activities_matter,Main Content,/computer-science/pickx/July 2018/why_extracurricular_activities_matter,
https://www.utep.edu/cs/pickx/_Files/july_2018_archive.html,https://www.utep.edu/entity/open.act?type=page&id=fa19c9f1816c09bf20aa067e4bbcce33&confId=fa19c9f2816c09bf20aa067e9d07619d,Main Content,/entity/open.act?type=page&id=fa19c9f1816c09bf20aa067e4bbcce33&confId=fa19c9f2816c09bf20aa067e9d07619d,View all Newsletters
https://www.utep.edu/cs/pickx/_Files/july_2018_archive.html,https://www.utep.edu/computer-science/pickx/July%202018/behavioral_interview_preparation,Main Content,/computer-science/pickx/July 2018/behavioral_interview_preparation,
