Page,Broken Link,Section,Relative Link,Link Name
https://www.utep.edu/liberalarts/academic-programs/online/index.html,http://online.utep.edu/chicano-studies/,Main Content,http://online.utep.edu/chicano-studies/,Chicano Studies
https://www.utep.edu/liberalarts/academic-programs/online/index.html,http://online.utep.edu/undergraduate-programs/security-studies/,Main Content,http://online.utep.edu/undergraduate-programs/security-studies/,Security Studies
https://www.utep.edu/liberalarts/academic-programs/online/index.html,http://online.utep.edu/graduate-programs/defense-strategic-studies/,Main Content,http://online.utep.edu/graduate-programs/defense-strategic-studies/,Defense and Strategic Studies
https://www.utep.edu/liberalarts/academic-programs/online/index.html,http://online.utep.edu/undergraduate-programs/criminal-justice/,Main Content,http://online.utep.edu/undergraduate-programs/criminal-justice/,Criminal Justice
https://www.utep.edu/liberalarts/academic-programs/online/index.html,http://online.utep.edu/graduate-programs/certificate-in-technical-professional-writing/,Main Content,http://online.utep.edu/graduate-programs/certificate-in-technical-professional-writing/,Technical & Professional Writing
https://www.utep.edu/liberalarts/academic-programs/online/index.html,http://online.utep.edu/undergraduate-programs/multidisciplinary-studies/,Main Content,http://online.utep.edu/undergraduate-programs/multidisciplinary-studies/,Multidisciplinary Studies
https://www.utep.edu/liberalarts/academic-programs/undergraduate/index.html,https://www.utep.edu/extendeduniversity/utepconnect/online-programs/bachelor-programs/bachelors-of-arts-in-media-advertising.html,Main Content,https://www.utep.edu/extendeduniversity/utepconnect/online-programs/bachelor-programs/bachelors-of-arts-in-media-advertising.html,Online
https://www.utep.edu/liberalarts/academic-programs/undergraduate/index.html,https://www.utep.edu/extendeduniversity/utepconnect/online-programs/bachelor-programs/online-bachelor-of-arts-in-chicano-studies.html,Main Content,https://www.utep.edu/extendeduniversity/utepconnect/online-programs/bachelor-programs/online-bachelor-of-arts-in-chicano-studies.html,Online
https://www.utep.edu/liberalarts/academic-programs/undergraduate/index.html,https://www.utep.edu/extendeduniversity/utepconnect/online-programs/bachelor-programs/bachelors-of-arts-in-criminal-justice.html,Main Content,https://www.utep.edu/extendeduniversity/utepconnect/online-programs/bachelor-programs/bachelors-of-arts-in-criminal-justice.html,Online
https://www.utep.edu/liberalarts/academic-programs/undergraduate/index.html,https://www.utep.edu/extendeduniversity/utepconnect/online-programs/bachelor-programs/bachelors-of-arts-in-organizational-and-corporate-communication.html,Main Content,https://www.utep.edu/extendeduniversity/utepconnect/online-programs/bachelor-programs/bachelors-of-arts-in-organizational-and-corporate-communication.html,Bachelor of Arts in Organizational and Corporate Communication
