Page,Broken Link,Section,Relative Link,Link Name
https://www.utep.edu/liberalarts/asian-studies/index.html,https://ieas.berkeley.edu/publications/aparvlectures.html,"Main Navigation, tab name: Resources",http://ieas.berkeley.edu/publications/aparvlectures.html,Resources/Lecture Series
https://www.utep.edu/liberalarts/asian-studies/about/contact-us.html,https://ieas.berkeley.edu/publications/aparvlectures.html,"Main Navigation, tab name: Resources",http://ieas.berkeley.edu/publications/aparvlectures.html,Resources/Lecture Series
https://www.utep.edu/liberalarts/asian-studies/about/index.html,https://ieas.berkeley.edu/publications/aparvlectures.html,"Main Navigation, tab name: Resources",http://ieas.berkeley.edu/publications/aparvlectures.html,Resources/Lecture Series
https://www.utep.edu/liberalarts/asian-studies/academic-programs/courses.html,https://ieas.berkeley.edu/publications/aparvlectures.html,"Main Navigation, tab name: Resources",http://ieas.berkeley.edu/publications/aparvlectures.html,Resources/Lecture Series
https://www.utep.edu/liberalarts/asian-studies/academic-programs/index.html,https://ieas.berkeley.edu/publications/aparvlectures.html,"Main Navigation, tab name: Resources",http://ieas.berkeley.edu/publications/aparvlectures.html,Resources/Lecture Series
https://www.utep.edu/liberalarts/asian-studies/academic-programs/offerings.html,https://ieas.berkeley.edu/publications/aparvlectures.html,"Main Navigation, tab name: Resources",http://ieas.berkeley.edu/publications/aparvlectures.html,Resources/Lecture Series
https://www.utep.edu/liberalarts/asian-studies/people/affiliated-faculty.html,https://ieas.berkeley.edu/publications/aparvlectures.html,"Main Navigation, tab name: Resources",http://ieas.berkeley.edu/publications/aparvlectures.html,Resources/Lecture Series
https://www.utep.edu/liberalarts/asian-studies/people/index.html,https://ieas.berkeley.edu/publications/aparvlectures.html,"Main Navigation, tab name: Resources",http://ieas.berkeley.edu/publications/aparvlectures.html,Resources/Lecture Series
https://www.utep.edu/liberalarts/asian-studies/student-resources/scholarship-opportunity.html,https://ieas.berkeley.edu/publications/aparvlectures.html,"Main Navigation, tab name: Resources",http://ieas.berkeley.edu/publications/aparvlectures.html,Resources/Lecture Series
https://www.utep.edu/liberalarts/asian-studies/student-resources/scholarship-opportunity.html,https://www.utep.edu/liberalarts/asian-studies/student-resources/,Main Content (Top small navigation),/liberalarts/asian-studies/student-resources,student-resources
